epoch,train_loss,val_dice,val_iou,val_bbox_iou,val_bbox_acc05,val_cls_acc,lr_enc,lr_seg,lr_cls
1,2.0729129943847657,0.45830988734960554,0.5070334377388159,0.3625167472415754,0.305,0.10166666666666667,0.001,0.001,0.001
2,1.604504343509674,0.5906347585221131,0.5135636878510316,0.39280456427842136,0.355,0.15166666666666667,0.001,0.001,0.001
3,1.4463565707206727,0.6660376561184724,0.5700203268478314,0.4106106154883797,0.37833333333333335,0.14333333333333334,0.001,0.001,0.001
4,1.3094456572532653,0.6856190552314122,0.6022976092994213,0.5434726083461139,0.585,0.22666666666666666,0.001,0.001,0.001
5,1.1686717526912689,0.7122796182831128,0.6389578488965829,0.5224341291717717,0.5683333333333334,0.27666666666666667,0.001,0.001,0.001
6,1.0217869057655335,0.7223676810661952,0.6336725699404876,0.5250890108036036,0.55,0.38,0.001,0.001,0.001
7,0.8640145834684372,0.7456438367565473,0.6615229497353236,0.601709691868067,0.6616666666666666,0.4533333333333333,0.001,0.001,0.001
8,0.732449800491333,0.783585575222969,0.6988938227295876,0.6009768258363614,0.655,0.5183333333333333,0.001,0.001,0.001
9,0.6397576982975006,0.7620490183432896,0.6769702489177386,0.5910354740205058,0.6383333333333333,0.5583333333333333,0.001,0.001,0.001
10,0.5405719732046127,0.7992189437150955,0.7168387060364088,0.6255881284442996,0.665,0.6083333333333333,0.001,0.001,0.001
11,0.47627517688274384,0.797026722629865,0.7213302239775657,0.645827323179066,0.71,0.645,0.001,0.001,0.001
12,0.41191077494621275,0.8298363740245501,0.7612035746375719,0.6462691794232759,0.685,0.7,0.001,0.001,0.001
13,0.3579141675233841,0.8140707770983379,0.7408574754993121,0.6420355037742406,0.6816666666666666,0.6766666666666666,0.001,0.001,0.001
14,0.3078881728351116,0.8198137601216634,0.7462741881608963,0.6756201433958192,0.7316666666666667,0.7216666666666667,0.001,0.001,0.001
15,0.28727307078242303,0.8399280101060868,0.7758359183867772,0.6847872106752252,0.725,0.7416666666666667,0.001,0.001,0.001
16,0.23040175503492355,0.8679449766874313,0.8065406521161397,0.6819942697095102,0.7116666666666667,0.7233333333333334,0.001,0.001,0.001
17,0.21831612430512906,0.8438328191637993,0.7752938245733579,0.6397599281340745,0.6533333333333333,0.6966666666666667,0.001,0.001,0.001
18,0.2057974351644516,0.8461771508057913,0.7839171384771665,0.6784656875420607,0.7033333333333334,0.7633333333333333,0.001,0.001,0.001
19,0.18948255252838134,0.8096597760915756,0.7384121013184388,0.6029977351601505,0.6166666666666667,0.6766666666666666,0.001,0.001,0.001
20,0.18405364035069943,0.8545051078001659,0.7888676871856054,0.677736773467768,0.7133333333333334,0.7666666666666667,0.001,0.001,0.001
21,0.16990522058308125,0.8462611496448517,0.7804342965284984,0.6731165295973585,0.69,0.735,0.001,0.001,0.001
22,0.1389998839199543,0.8596855600674947,0.7983437965313593,0.7099054240891077,0.7533333333333333,0.785,0.001,0.001,0.001
23,0.12712278578430414,0.8662289718786875,0.8086987222234409,0.7206592606994152,0.755,0.81,0.001,0.001,0.001
24,0.11642750753462315,0.8592213908831279,0.7973087216416995,0.715420205905741,0.7616666666666667,0.79,0.001,0.001,0.001
25,0.10833459909260273,0.8303828477859497,0.7637315581242243,0.663098892419903,0.68,0.7,0.001,0.001,0.001
26,0.144353439360857,0.841444618999958,0.7793096626798311,0.7037126354580868,0.7533333333333333,0.7816666666666666,0.001,0.001,0.001
27,0.11251642314344644,0.856258076429367,0.796978409588337,0.7018177646256615,0.7466666666666667,0.7616666666666667,0.001,0.001,0.001
28,0.09018546543270349,0.8811855842669805,0.8265935798486074,0.7088532898494475,0.75,0.7833333333333333,0.001,0.001,0.001
29,0.11107902783155442,0.8722245852152507,0.8210642566283544,0.7508670377748453,0.8016666666666666,0.81,0.001,0.001,0.001
30,0.07722058141231537,0.8524306192994118,0.792824205259482,0.7083362198525842,0.7416666666666667,0.7683333333333333,0.001,0.001,0.001
31,0.12031365877389907,0.8354054967562358,0.7824687038858732,0.7143816897330738,0.76,0.7016666666666667,0.001,0.001,0.001
32,0.10439154948294163,0.8846274862686793,0.8319010883569717,0.7092921178743092,0.7366666666666667,0.8166666666666667,0.001,0.001,0.001
33,0.07556269048154354,0.8723516027132671,0.8156068767110507,0.6772445580132976,0.6833333333333333,0.73,0.001,0.001,0.001
34,0.07072600616514682,0.8834652443726857,0.8346641113360723,0.7655989771167548,0.805,0.8316666666666667,0.001,0.001,0.001
35,0.0681414809152484,0.8484973450501759,0.7931618387500445,0.6934436039830383,0.74,0.7616666666666667,0.001,0.001,0.001
36,0.11529119171202183,0.8818429857492447,0.8320000131924947,0.736842687528117,0.765,0.7833333333333333,0.001,0.001,0.001
37,0.06603979256004094,0.8707685569922129,0.8168551797668139,0.7189608781777976,0.7566666666666667,0.7933333333333333,0.001,0.001,0.001
38,0.08947904887795448,0.8483664900064468,0.7900635590155919,0.6810350867975997,0.71,0.7516666666666667,0.001,0.001,0.001
39,0.07288413015753031,0.8635497351487478,0.8090147385994594,0.7270473704570031,0.755,0.8333333333333334,0.001,0.001,0.001
40,0.06242410963773727,0.8905973166227341,0.8412335515022278,0.7320429544614029,0.7566666666666667,0.8066666666666666,0.001,0.001,0.001
